Change Component DesignItemId : Designator=C3 Old DesignItemId=CMP-002-000008-2 New DesignItemId=CMP-002-000008-3
Change Component Footprint: Designator=C3 Old Footprint=CAPAE1080X580N New Footprint=CAPAE1080X580N
Change Managed Component Library Link : Designator=C3 Old VaultGUID=0D51059A-7567-4922-900C-B3DB03C4D13B New VaultGUID=0D51059A-7567-4922-900C-B3DB03C4D13B Old ItemGUID=013797AF-C4C4-47B6-ADD9-8E0926D4B032 New ItemGUID=013797AF-C4C4-47B6-ADD9-8E0926D4B032 Old RevisionGUID=03504d3c-ab52-4630-abf1-a415bb3aae5a New RevisionGUID=b06554cc-d88e-4c88-a9cf-f43784cb337c
Add Net: Net with name "ACCEL_CS" already exists
Add Net: Net with name "ACCEL_INT_1" already exists
Add Net: Net with name "ACCEL_INT_2" already exists
Add Net: Net with name "ACCEL_TRIG" already exists
Add Net: Net with name "CAN0_RX" already exists
Add Net: Net with name "CAN0_STBY" already exists
Add Net: Net with name "CAN0_TX" already exists
Add Net: Net with name "CAN1_RX" already exists
Add Net: Net with name "CAN1_STBY" already exists
Add Net: Net with name "CAN1_TX" already exists
Add Net: Net with name "DEBUG_0" already exists
Add Net: Net with name "DEBUG_1" already exists
Add Net: Net with name "I2C0_SCL" already exists
Add Net: Net with name "I2C0_SDA" already exists
Add Net: Net with name "MOSI" already exists
Add Net: Net with name "RESET" already exists
Add Net: Net with name "SCK" already exists
Add Net: Net with name "SD_ACTIVE_LED" already exists
Add Net: Net with name "SDCD" already exists
Add Net: Net with name "SDCK" already exists
Add Net: Net with name "SDCMD" already exists
Add Net: Net with name "SDDAT0" already exists
Add Net: Net with name "SDDAT1" already exists
Add Net: Net with name "SDDAT2" already exists
Add Net: Net with name "SDDAT3" already exists
Add Net: Net with name "SPI1_MISO" already exists
Add Net: Net with name "SPI1_MOSI" already exists
Add Net: Net with name "SPI1_SCK" already exists
Add Net: Net with name "STAT_B" already exists
Add Net: Net with name "STAT_G" already exists
Add Net: Net with name "STAT_R" already exists
Add Net: Net with name "SWDCLK" already exists
Add Net: Net with name "SWDIO" already exists
Add Net: Net with name "SWO" already exists
Add Net: Net with name "TEMP_SENSE_VDD" already exists
Add Net: Net with name "TEMP_SENSE" already exists
Add Net: Net with name "USB_N" already exists
Add Net: Net with name "USB_P" already exists
Add Net: Net with name "V_USB_SENSE" already exists
Add Net: Net with name "VBAT" already exists
Add Net: Net with name "VCC_MCU_3V3" already exists
Add Net: Net with name "VCC_MCU_3V3" already exists
Add Net: Net with name "VCC_MCU_3V3" already exists
